,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
186,Alameda County,CA,12.5,21.4,6.1,41.8,86.4,124216,598309,1.9,37108,1.1,28.9,12.1,22.7,1.0,5.2,51.7,32.8,53.2,545071,592355,493800,2.76,38.2,72112,35763,12.5,3438,30.8,739.02,43.1,84.1,252368,28.8,51.0,63738,1510271,1610921,6.7,2043.6,28077,356740,179090,12359,0.0,24.4,6.8,8.9,0.0,140342,32.2
2933,Lexington city,VA,14.1,12.3,3.7,41.7,78.3,459,3828,2.9,287,0.3,3.2,9.6,3.8,0.1,2.2,84.6,81.1,55.5,1709,2528,262700,2.05,25.7,36505,14763,25.2,8,5.2,2.5,8.5,80.6,0,17.0,44.4,320,7042,7311,3.9,2820.2,312,19,867,12564,0.0,0.0,0.0,0.0,0.0,532,0.0
2374,Clay County,SD,11.2,18.1,5.7,41.6,94.6,796,3383,-8.0,301,3.0,2.1,1.6,2.8,0.1,2.2,90.9,88.8,55.8,5145,5795,133800,2.25,32.5,38173,20595,24.5,48,2.8,412.19,4.9,65.0,0,16.3,50.7,943,13864,13932,0.5,33.6,193,0,1400,10410,0.0,0.0,0.0,0.0,0.0,811,0.0
548,Kalawao County,HI,29.2,0.0,0.0,41.5,87.7,0,0,0.0,1,0.0,7.9,0.0,1.1,48.3,15.7,28.1,27.0,0.0,46,113,0,1.39,25.3,59375,45515,14.7,0,19.7,11.99,33.8,90.1,0,10.0,52.8,3,90,89,-1.1,7.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1857,Nassau County,NY,16.4,22.1,5.4,41.5,90.2,132134,532008,1.7,47683,0.5,9.1,12.6,16.1,0.1,1.7,76.1,62.3,80.5,441955,466928,454500,2.99,21.3,97690,42400,6.0,905,21.3,284.72,27.9,93.4,0,34.0,51.5,61803,1339532,1358627,1.4,4704.8,24393,0,243126,17969,0.4,8.0,6.4,7.1,0.0,167931,25.9
278,La Plata County,CO,14.2,19.4,5.1,41.4,94.2,5970,20661,8.0,2296,6.8,0.8,0.6,12.6,0.1,2.5,89.2,79.2,66.5,20947,26475,339400,2.39,17.9,58080,30151,11.4,278,3.5,1692.08,9.7,79.6,0,20.5,49.2,3963,51334,53989,5.2,30.3,2062,0,7904,15914,2.2,0.0,0.0,0.0,0.0,8231,25.9
374,St. Johns County,FL,18.2,22.0,4.8,41.4,93.2,18006,49016,6.1,5305,0.3,2.6,5.7,6.1,0.1,1.8,89.5,84.0,77.0,75558,96900,242900,2.57,19.1,64876,36836,9.6,2786,6.4,600.66,8.1,83.3,5332,25.7,51.3,19172,190039,217919,14.7,316.4,5076,8711,20397,11601,0.5,2.7,2.3,4.9,0.0,19871,26.1
1786,Monmouth County,NJ,15.6,22.3,5.2,41.4,92.2,50713,224059,1.4,18959,0.3,5.5,7.7,10.5,0.1,1.7,84.7,75.7,75.2,233909,260744,389900,2.66,24.8,84526,42749,7.0,1484,13.2,468.79,17.1,91.1,34684,33.4,51.4,35366,630380,629279,-0.2,1344.7,11534,110588,112250,17511,0.0,5.9,3.1,3.8,0.0,63391,25.7
2601,Fort Bend County,TX,9.4,27.9,6.7,41.4,88.5,57132,138739,7.6,10791,0.6,19.0,21.1,24.0,0.1,2.0,57.2,35.1,78.7,191406,223983,183600,3.15,10.3,85297,34084,8.4,9268,25.9,861.48,37.9,89.2,49866,30.6,50.9,26189,585375,685345,17.2,679.5,5834,66152,53061,10440,0.0,16.5,16.5,15.9,0.0,50412,32.0
702,Boone County,IN,12.6,27.0,6.6,41.0,93.5,4861,20400,15.5,1414,0.3,2.3,1.5,2.6,0.0,1.4,94.4,92.1,76.8,21908,25212,179000,2.62,13.7,67255,37482,7.5,526,3.4,422.91,4.4,89.4,0,24.1,50.5,3333,56640,61915,9.3,133.9,544,3863,4844,8970,0.0,0.0,0.0,0.0,0.0,5662,23.2
